Item,Cost,Weight,Uses,Book,Page,Comment
Emergency vacuum seal,750,0.9,-,UR,40,Disk-shaped is a biomechanical device designed to quickly seal a starships interior during a hull breach by placing the seal over the breach. An electrical current stimulates series of microorganisms quickly multiply. When using the Jury-rig applications on a starship that has suffered a hull breach this allow the ship to move +1 additional step on CT.
Hypoinjector wristband,350,0.1,5 days,UR,40,"Small inconspicuous metal band, Can help wearer to avoid succumbing to the effects of poisons or harmful chemicals. Stores 8 doses of vaccines, antidotes or other medication (not included). Also houses a bioscanner that detect any foreign chemicals that the device can counteract and distributes if needed. Refilling takes a S Action per dose or 4 rounds for entire set."
All-temperature cloak,100,1.5,-,CR,138,Wrap-around cloak protects its wearer from elements. +5 to Fort Def vs. extreme heat or cold.
"Battle harness, Sith",5000,90,-,J,64,Designed to turn a large beast into a mobile weapon platform. Grants +2 to Ride checks. Grants mount +4 to Ref Def and to Fort Def. Built-in blaster cannon powered by an onboard fusion generator providing unlimited ammunition.
Camouflage netting,2000,5,-,GW,46,"2 deploy in full round or 1 in 1 minute, +5 Stealth & v. sensors for an object Huge or smaller"
Camouflage poncho,2000 (125*),1.5,-,GW,46,Can be worn over armor or cloths. Special materials track the surrounding area and alter the pattern on the poncho to match. +2 (+5*)on Stealth checks. *RAW
Chain,25,2.5,-,CR,138,"3 Meters long. DR 10, HP 5, STR 44, Break DC 32."
Field food processor,1500,4,year,GW,47,"Used to provide sustenance from local flora and fauna. 3 lbs (1.36kg) of plants, meat or fungus can be placed inside after 1min a gray paste, extremely bland but edible and nutritious is produced (10 different species). +10 to Fort Def checks against any poison, toxin or radiation that might have been in the initial ingredients."
Field kit,1000,10,-,CR,138,"Backpack full of survival gear. 2 condensing Canteens with purification system, a Sunshield roll, 1 weeks rations, 2 Glow rods, an All-temperature cloak and 2 Breath masks (with 24 filters and 12 canisters). Needed to use the Endure extreme temperatures application of the Survival skill."
Fire paste,15,0.1,5,UR,40,"Paste in tube can be placed on any surface, including ice and wet wood. A single spark ignites it. Burns for 3d4 min. If applied to a living creature it causes 1d6 dmg as long as it burns and remains in contact with the creature or object."
Fire rod,25,0.1,-,UR,40,10cm plastic tube containing 2 chambers with chemicals when mixed they ignite within seconds. Burns for 2d8 minutes without additional fuel.
Jet pack,300,30,10,CR,138,"Strap on propulsion system allowing flight over short distances, Arm and wrist controls are employed for maneuvering. Sw action to activate (not needed on continuous rounds) gain a fly speed of 6sq until end of your turn. Routine maneuvers do not require a Pilot check. DC 20 Pilot check to land after moving more than 12sq during the same round, fail fall prone. Has 10 charges (fuel cell cost 100cr) and can lift up to 180kg."
"Jetpack, Hush-About Personal",3750,30,6,F,101,Jetpack engineered to produce little or no noise beyond a high-pitch whine. Wearer takes no penalty to Stealth checks because of speed while using it.
Liquid cable dispenser,10,0.2,-,CR,138,"Contains a liquid that solidifies to a flexible cable 15m. Not meant to be reused. Cable STR 28, Break DC 24, 560kg."
Ooglith Masquer,,,-,W,,Deception +5
Personal field shelter,500,1.5,-,GW,47,Small package when activated expands to a small narrow tent (single medium creature) As long as the user is sealed inside +10 Fort Def against extreme heat/colt. 1h breathable atmosphere protecting against inhaled poisons. Blends with surroundings +2 on Stealth checks to hide it.
Plasma bridge,12500,700,-,GW,47,"Plasma generator creating a 6sq wide and up to 120sq long surface. Must be connected with a power generator. When deactivated, destroyed or disconnected bridge last for 2 rounds."
Plast tent,300,2.7,-,UR,41,High-grade polymer shelter. Fully inflated (few minutes) it forms a triangular structure 2m tall (4 medium size creatures). Easily moved and strong enough to withstand most weather conditions. Can have a small piece of equipment (Sensor array) mounted onto it.
Ration pack,5,0.1,-,CR,138,Fine sized pack with nourishment for a person for 1 day. Geared for a range of species. Is not appetizing and does not include water.
Shipsuit,200,1,-,UR,42,Coverall made by tough synthmech fabric. Enough pockets and pouches to carry 24 objects of Small size no more than 1kg each. Cumulative weight of the objects is halved when calculating wearers total carried weight. +1 to Fort Def when resisting extreme temperatures.
Subsonic field emitter,120,0.2,-,UR,42,Generates a subsonic pulse in a 6m radius designed to allow beings to relax without being disturbed by natural pests. Tiny or smaller creatures with a INT of 2 or less can not willfully enter the radius.
Syntherope,20,2.5,-,CR,138,"Coil of 45m rope. STR 30, Break DC 25, 720kg."
Vacuum survival pouch,800,1,-,GW,47,"Small cylinder that can be worn in belt. If loss of pressure it automatically deploys enveloping user in a protective bubble (single medium character) with air, heat and pressure to survive in hard vacuum for 2h. 2HP."
Water extractor,400,3.2,-,UR,42,"Cone-shaped apparatus that attracts water vapor from the air. Water accumulates, contaminants and toxins are filtered out. Tests on Tatooine yielded enough water in 16h to sustain a humanoid for a full day."
Antisecurity Blades (Jango Fett)Antisecurity Blades (Jango Fett),,,-,TT,19,Electronic devices allow Jango to bypass force fields and jam security devices with a burst of high- frequency waves. +2 on Mechanics checks made to disable devices.Electronic devices allow Jango to bypass force fields and jam security devices with a burst of high- frequency waves. +2 on Mechanics checks made to disable devices.
Binder cuffsBinder cuffs,50,0.5,-,CRCR,139,"Durasteel restraints designed to lock two limbs of a prisoner together. Removing them without the 7-digit code requires a DC 25 Mechanics check. Works on Small, Medium or Large creatures. DR 10, HP 20, STR 40, Break DC 30.Durasteel restraints designed to lock two limbs of a prisoner together. Removing them without the 7-digit code requires a DC 25 Mechanics check. Works on Small, Medium or Large creatures. DR 10, HP 20, STR 40, Break DC 30."
Biotech tool kitBiotech tool kit,450,1,-,LL,65,Consists of a variety of implants and tools that look more than at home in a medical kit than in a tool kit. Designed to modify Yuuzhan Vong biotechnology. Needed to use the Biotech Repair application of the Treat Injury skill.Consists of a variety of implants and tools that look more than at home in a medical kit than in a tool kit. Designed to modify Yuuzhan Vong biotechnology. Needed to use the Biotech Repair application of the Treat Injury skill.
"Cage, Energy universalCage, Energy universal",20000,3000,-,JJ,64,"Spherical cage energy flowing through bars delivering shock to prisoners trying to free themselves. Designed to contain Force-user (can only UtF at very low lvls like healing themselves). All Functions (i.e. turning it off) are controlled by a handheld remote. DR 20, HP 150, DT 25, every time it takes 15+ dmg it delivers 4d8 stun dmg to the prisoner.Spherical cage energy flowing through bars delivering shock to prisoners trying to free themselves. Designed to contain Force-user (can only UtF at very low lvls like healing themselves). All Functions (i.e. turning it off) are controlled by a handheld remote. DR 20, HP 150, DT 25, every time it takes 15+ dmg it delivers 4d8 stun dmg to the prisoner."
"Cage, ForceCage, Force",7000,25,-,SVSV,52,Large size (2x2sq) cage whose bars are charged with electricity. Assembled/disassembled in 5min. Deals 3d6 energy dmg to anyone trying to break into or out of the cage. Break DC 30. Deactivated using a remote (treat as portable computer INT 16).Large size (2x2sq) cage whose bars are charged with electricity. Assembled/disassembled in 5min. Deals 3d6 energy dmg to anyone trying to break into or out of the cage. Break DC 30. Deactivated using a remote (treat as portable computer INT 16).
"Cage, ShieldCage, Shield",10000,20,-,GIGI,67,"Flat disk 2m in diameter, portable shield generator used to trap a target rather than protect it from harm. Produces a shield bubble (SR 15) that fills a single square (can be linked) rendering the target immobilized (can breath and communicate trough shield).Flat disk 2m in diameter, portable shield generator used to trap a target rather than protect it from harm. Produces a shield bubble (SR 15) that fills a single square (can be linked) rendering the target immobilized (can breath and communicate trough shield)."
Climbing harnessClimbing harness,45,0.7,-,URUR,40,"Secures the wearer to a climb line, providing several attachment points for anchor lines. When making a Climb check you fall only if you fail by 10 or more.Secures the wearer to a climb line, providing several attachment points for anchor lines. When making a Climb check you fall only if you fail by 10 or more."
Droid diagnosticDroid diagnostic,400,2,-,GWGW,46,Handheld device about twice the size of a datapad designed to diagnose and analyze the functions of any droid connected to it displaying dmg or errors in droids systems. +2 on Mechanics check for a droid connected to it.Handheld device about twice the size of a datapad designed to diagnose and analyze the functions of any droid connected to it displaying dmg or errors in droids systems. +2 on Mechanics check for a droid connected to it.
Energy cellEnergy cell,10,,-,CRCR,139,Small flat disk. Battery for devices.Small flat disk. Battery for devices.
Fire extinguisherFire extinguisher,50,3,-,CRCR,139,"Put out a fire up to 10sq in size at a rate of 1sq per round before depleted. FR Action, Can be used to provide total concealment, cloud spreads 1sq in all directions for every round it is activated. Dissipates after 3 rounds (no matter size) 10 uses.Put out a fire up to 10sq in size at a rate of 1sq per round before depleted. FR Action, Can be used to provide total concealment, cloud spreads 1sq in all directions for every round it is activated. Dissipates after 3 rounds (no matter size) 10 uses."
Force detectorForce detector,2000,9,-,JJ,63,"Can have many forms (blood samples for medichlorian counts, thaissen crystals) Regardless of form it requires 5 rounds and a DC 15 Use Computer check to activate and indicates if the target has the Force Sensitivity feat.Can have many forms (blood samples for medichlorian counts, thaissen crystals) Regardless of form it requires 5 rounds and a DC 15 Use Computer check to activate and indicates if the target has the Force Sensitivity feat."
Force training aidForce training aid,25,1,-,JJ,63,"Many forms (toys, puzzles) designed to help Younglings make connections to the Force easier. Any creature untrained in UtF can after spending on hour with the training aid use any one ""trained only"" aspect of the UtF skill within the next 24h.Many forms (toys, puzzles) designed to help Younglings make connections to the Force easier. Any creature untrained in UtF can after spending on hour with the training aid use any one ""trained only"" aspect of the UtF skill within the next 24h."
Lock Breaking KitLock Breaking Kit,8000,4,-,SVSV,52,Some very advanced and highly specialized tools. Highly illegal. +2 on Mechanics and Use Computer checks to bypass doors and airlocks on a starship.Some very advanced and highly specialized tools. Highly illegal. +2 on Mechanics and Use Computer checks to bypass doors and airlocks on a starship.
Man TrapMan Trap,8000,19,-,SVSV,52,"Reversed repulsor field that draws a target directly down, as though high gravity. Covers 1sq and any creature entering that sq is immediately immobilized. M Action to break out, requiring DC 40 STR check. Deactivated using a remote (treat as portable computer INT 16).Reversed repulsor field that draws a target directly down, as though high gravity. Covers 1sq and any creature entering that sq is immediately immobilized. M Action to break out, requiring DC 40 STR check. Deactivated using a remote (treat as portable computer INT 16)."
Mechanical interface visor,1250,0.5,-,K,73,Translates images received though visual sensors and scans them for mechanical designs. Allowing wearer to attempt trained-only applications of Mechanics even if untrained. Also provides +2 on Mechanics checks. Can not be worn with helmet or any other device worn on the head.
Mesh tape,5,0.5,-,CR,139,"Roll with adhesive tape 30m long and 5cm wide. STR 15, 90kg (180kg for 5 rounds) Break DC 20."
"Multitool, personal",100,0.2,50h,UR,41,"A low-tech device that holds miniature versions of several simple tools that can be useful. 5cm vibroblade (1d4 dmg), Low-power hydrospanner, small hydrogrip, toothpick, miniature set of eating utensils."
Power generator,750,15,-,CR,139,"Small fusion reactor used to power Heavy weapons, Vehicles, Structures and Machinery. Can power up to a Gargantuan vehicle/structure indefinitely, Colossal for 1day and Colossal (frigate) for 1h. After that it is disabled and must be repaired. If destroyed in use it overloads and explodes, wenting plasma on every target within 4sq. (Area Atk 1d20+10 vs Ref Def for 8d6 energy dmg)."
Power pack,25,0.1,-,CR,139,Compact rectangular battery.
Power recharger,100,1,-,CR,139,"Used to recharge power packs/energy cells (takes 4h only one battery can be recharged at a time) Enough power to recharge 100 batteries, but is normally connected to a power supply."
Redirection Crystal,500,,-,GI,67,Fine size (Ref Def 15) crystal filled with Tibanna gas and has a small blasting tube used to redirect blast fire in a established angle. If hit make a second atk roll at -10 and additional range penalties against intended target. Gets destroyed when hit requiring a DC 30 Perception check to notice and a DC 30 Knowledge (technology) check to identify.
Repulsor hitch,100,3,-,UR,41,Small repulsorlift encased in a durasteel shell that can be attached to a cable or another extension. When activated it can lift items weighing up to 200kg.
Repulsor pad,200,6,-,F,102,Flat board with 4 repulsors designed to ease manual labor. Occupies a single sq and can lift an object that occupies 1sq (more pads can be linked for larger items) Sw Action to activate and Sw Action to have pad(s) move along with a character. If pulled in opposite directions make opposed STR checks and pad will move along the victor.
"Saddle, riding",125,4,-,UR,41,Must be made to conform to the type of creature for which they are used. Most vendors selling mounts include the cost for the saddle with the purchase of the creature.
"Saddle, war",250,6,-,UR,42,"Offers a sturdier platform for the rider. +2 on Ride checks made to control the mount in battle, to guide the mount with knees or stay in saddle."
Security kit,750,1,-,CR,139,Special tools for bypassing electronic and mechanical locks. Includes electronic components and dedicated sensor devices and monitors frequencies used by silent alarms to alert if one is triggered. Illegal on most worlds without proper permits. Needed to use the Disable Device application of the Mechanics skill.
Tool kit,250,1,-,CR,139,"Represents a broad collection of tools designed to take apart, analyze, modify and rebuild almost any technological device can be used as makeshift weapons (-5 on atk rolls). Electroshock probe (1d8 ion), Fusion cutter (2d6 energy), Hydrospanner, Laser welder (1d8 energy), Power calibrator, Power prybar (1d8 bludgeon), Probe sensors, Sonic welder (1d8 energy), various circuits and wires, vibro cutters and welding goggles. Needed to use the Bio Adaptation, Booby Trap, Build Object, Environmental Adaptation, Hot Shot, Improvised Connection, Modify Droid, Repair Droid applications of the Mechanics skill."
Utility belt,500,4,-,CR,140,"Has several pouches containing 3 days food, 1 Medpack, 1 Tool kit, 1 power pack, 1 Energy cell, 1 Glow rod, 1 Comlink, Short, 1 Liquid cable with grappling hook, 2 empty (up to 0,5kg each)."
Bandolier,100,2,-,CR,140,"Usually worn around their left or right shoulder down across their torso, or as a large belt. Has 12 slots each can hold a Tiny weapon or a single piece of equipment (max 0.5kg)."
Computerized interface scope,2000,0.5,-,R,51,"Small electrobinocular device, mounted onto a weapon. Projects a targeting image onto a monocle or helmet display worn by the wielder. Image projected by scope can be transmitted by comlink to a remote location allowing others to see what the wielder sees. Reduces range of the target by 1 category when aiming. otherwise mechanically identical to a targeting scope."
Flash Suppressor/Silencer,400,0.2,-,GI,66,Fits over a muzzle of any Small or larger slugthrower. Imposes a -10 to Perception checks to hear sound or spot the flash. Reduced the max range of the weapon by 2 range increments.
"Holster, Concealed",50,0.2,-,CR,140,"Designed to keep a weapon out of sight but still easily accessed. Available for Single bladed lightsabers and Small or Tiny weapons. Can be a shoulder holster, under jacket,west or cloak (or for Tiny and single lightsaber ankle, boot or wrist holster). Allows a character to draw his weapon without provoking an AoO. M Action to draw/holster the weapon (normally a S Action for a concealed item). -5 on Stealth checks to conceal."
"Holster, Hip",25,0.5,-,CR,140,"Generally available for all types of weapons. Can be a holster, sheath, strap, hanger that holds the weapon in an easily accessed and easily seen location. Allows a character to draw his weapon without provoking an AoO. M Action to draw/holster the weapon."
Mask of Darth Nihilus,,,-,UR,220,"Gain Force Sensitivity and Force Training feat or 2x Force training if worn by a Jedi or Sith. Half of those powers must have [Dark Side] descriptor. When wearer uses a Force Power or Spend a Force point gain a DSP. If wearer uses a number of Force power equal to his CON mod in a single encounter, wearer moves -1 on CT persistent condition (Removed only when wearer takes off the mask)."
Repulsor boots,200,2,-,UR,41,Footwear allows wearer to float up to 0.5m above the ground. Max speed of 2sq per round. Not an optimal method of travel but grants +10 to Climb checks.
"Targeting scope, Enhanced low-light",1000,1.2,-,CR,140,Installing a scope on a rifle or pistol requires 10min and a DC 10 Mechanics check. Functions as a standard scope in normal light. But after aiming at a target allows wielder to ignore concealment (but not total concealment) from darkness when attacking that target.
"Targeting scope, standard",100,0.2,-,CR,140,Installing a scope on a rifle or pistol requires 10min and a DC 10 Mechanics check. Reduces range by one category but must aim to gain benefit and lose if lose LOS.
Body spikesBody spikesBody spikes,1400,,-,LLL,68,Automatically deals 1d4 P/S dmg when grappling or being grappled.Automatically deals 1d4 P/S dmg when grappling or being grappled.Automatically deals 1d4 P/S dmg when grappling or being grappled.
Cosmetic enhancementsCosmetic enhancementsCosmetic enhancements,200,,-,LLL,68,Can not be rejected. No penalty on UtF checks.Can not be rejected. No penalty on UtF checks.Can not be rejected. No penalty on UtF checks.
Enhanced visionEnhanced visionEnhanced vision,1900,,-,LLL,68,Gains darkvision.Gains darkvision.Gains darkvision.
Natural armorNatural armorNatural armor,7000,,-,LLL,68,"Gain natural armor of 1, or +1 (to Ref Def)if recipient already has natural armor.Gain natural armor of 1, or +1 (to Ref Def)if recipient already has natural armor.Gain natural armor of 1, or +1 (to Ref Def)if recipient already has natural armor."
Natural weaponNatural weaponNatural weapon,4000,,-,LLL,68,"Natural weapon now does 1d6 slash dmg, considered armed.Natural weapon now does 1d6 slash dmg, considered armed.Natural weapon now does 1d6 slash dmg, considered armed."
Poison filterPoison filterPoison filter,2500,,-,LLL,68,#ERROR!
Replacement body partReplacement body partReplacement body part,2000,,-,LLL,68,"Once a replacement limb or organ is attached, it performs just as well as the original limb.Once a replacement limb or organ is attached, it performs just as well as the original limb.Once a replacement limb or organ is attached, it performs just as well as the original limb."
Bao-Dur's cybernetic armBao-Dur's cybernetic armBao-Dur's cybernetic arm,,,-,KKK,176,"Energy cell must be recharged every 48h. Successful unarmed strike against a energy shield of some sort. If SR below 15 it is disabled, if above SR 15 it lowers the shields SR by 5. Ineffective against shields protecting Gargantuan or larger starships and vehicles.Energy cell must be recharged every 48h. Successful unarmed strike against a energy shield of some sort. If SR below 15 it is disabled, if above SR 15 it lowers the shields SR by 5. Ineffective against shields protecting Gargantuan or larger starships and vehicles.Energy cell must be recharged every 48h. Successful unarmed strike against a energy shield of some sort. If SR below 15 it is disabled, if above SR 15 it lowers the shields SR by 5. Ineffective against shields protecting Gargantuan or larger starships and vehicles."
BioTech Borg Construct AJ-6BioTech Borg Construct AJ-6BioTech Borg Construct AJ-6,80000,,-,RRR,149,See Borg Construct.See Borg Construct.See Borg Construct.
Borg ConstructBorg ConstructBorg Construct,80000,,-,GWGWGW,49,"Provides cabled or wireless link to computers within 10m. Up to 4 Biotech knowledge cartridges or datacard ports. Gain +2 circumstance bonus to Use Computers, Knowledges and other skills (GMs discretion). Can Issue routine commands application of Use computers as Sw Action (F Action with Gimmick talent). User takes -5 to all Persuasion checks and speak less frequently. Rejection +14 , Surgery cost 70000. Restricted.Provides cabled or wireless link to computers within 10m. Up to 4 Biotech knowledge cartridges or datacard ports. Gain +2 circumstance bonus to Use Computers, Knowledges and other skills (GMs discretion). Can Issue routine commands application of Use computers as Sw Action (F Action with Gimmick talent). User takes -5 to all Persuasion checks and speak less frequently. Rejection +14 , Surgery cost 70000. Restricted.Provides cabled or wireless link to computers within 10m. Up to 4 Biotech knowledge cartridges or datacard ports. Gain +2 circumstance bonus to Use Computers, Knowledges and other skills (GMs discretion). Can Issue routine commands application of Use computers as Sw Action (F Action with Gimmick talent). User takes -5 to all Persuasion checks and speak less frequently. Rejection +14 , Surgery cost 70000. Restricted."
Borg Construct Knowledge cartridgeBorg Construct Knowledge cartridgeBorg Construct Knowledge cartridge,100,,-,GWGWGW,49,INT 4 instead of the normal INT 2.INT 4 instead of the normal INT 2.INT 4 instead of the normal INT 2.
Borg Construct Datacard/Know cart portBorg Construct Datacard/Know cart portBorg Construct Datacard/Know cart port,500*500*500*,,-,GWGWGW,49,*Per port (one is included in the Borg Construct).*Per port (one is included in the Borg Construct).*Per port (one is included in the Borg Construct).
"Comlink, SubcutaneousComlink, SubcutaneousComlink, Subcutaneous",4000,,-,GWGWGW,49,"Sensor and transmitter attached to vocal and auditory organs of the host. Can use without making a sound loud enough for others to hear. Rejection +3 , Surgery cost 3000. Restricted.Sensor and transmitter attached to vocal and auditory organs of the host. Can use without making a sound loud enough for others to hear. Rejection +3 , Surgery cost 3000. Restricted.Sensor and transmitter attached to vocal and auditory organs of the host. Can use without making a sound loud enough for others to hear. Rejection +3 , Surgery cost 3000. Restricted."
Cybernetic ProsthesisCybernetic Prosthesis,1500,,-,CRCR,137,Performs as well as the original limb with these exceptions. You now take full dmg from Ion dmg atks. You not take -1 on UtF checks per prosthesis (maximum to a -5). Can not be rejected. Surgery cost 500cr. Also in GW 49. Have 1 upgrade slot.Performs as well as the original limb with these exceptions. You now take full dmg from Ion dmg atks. You not take -1 on UtF checks per prosthesis (maximum to a -5). Can not be rejected. Surgery cost 500cr. Also in GW 49. Have 1 upgrade slot.
"Eye, infrared sensorEye, infrared sensor",300,,-,GWGW,49,"Grants the host darkvision. Rejection +14 , Surgery cost 2250. Restricted.Grants the host darkvision. Rejection +14 , Surgery cost 2250. Restricted."
"Eye, targetingEye, targeting",500,,-,GWGW,49,"Host gain +2 equipment bonus to Perception and low-light vision. Rejection +16 , Surgery cost 3750. Military.Host gain +2 equipment bonus to Perception and low-light vision. Rejection +16 , Surgery cost 3750. Military."
"Eye, telescopingEye, telescoping",500,,-,GWGW,49,"Eye can zoom in on remote objects. Range penalties to Perception every 20sq instead of every 10sq as normal. Rejection +9 , Surgery cost 3750. Restricted.Eye can zoom in on remote objects. Range penalties to Perception every 20sq instead of every 10sq as normal. Rejection +9 , Surgery cost 3750. Restricted."
Rhen-Orm BiocomputerRhen-Orm Biocomputer,,,-,TT,17,Anzati implanted this biocomputer in Aurra Sings skull. Expand range of awareness and sense. When making Survival checks to track add an equipment bonus equal to her quarry's Force points to her checks. Counts as a Cybernetic prosthesis.Anzati implanted this biocomputer in Aurra Sings skull. Expand range of awareness and sense. When making Survival checks to track add an equipment bonus equal to her quarry's Force points to her checks. Counts as a Cybernetic prosthesis.
Sensory enhancementSensory enhancement,800,,-,GWGW,50,"Augmentations on nerve endings in various sensory organs. Reduce by 2 any penalty to Perception checks made to notice a target with concealment or total concealment. Rejection +14 , Surgery cost 3000. Restricted.Augmentations on nerve endings in various sensory organs. Reduce by 2 any penalty to Perception checks made to notice a target with concealment or total concealment. Rejection +14 , Surgery cost 3000. Restricted."
Skeletal reinforcementSkeletal reinforcement,10000,,-,GWGW,50,"Enhances hosts skeleton with high-impact polymers. +2 equipment bonus to damage threshold. Rejection +12 , Surgery cost 50000. Restricted.Enhances hosts skeleton with high-impact polymers. +2 equipment bonus to damage threshold. Rejection +12 , Surgery cost 50000. Restricted."
Subelectronic converterSubelectronic converter,23000,,-,JJ,64,Computerized device that is implemented into the head. May use mind-affecting effecting Force powers on droid despite the droids immunity. Recipient takes a -2 on Will Def in addition to the normal effect of having a cybernetic enhancement.Computerized device that is implemented into the head. May use mind-affecting effecting Force powers on droid despite the droids immunity. Recipient takes a -2 on Will Def in addition to the normal effect of having a cybernetic enhancement.
Tremor sensorTremor sensor,400,,-,GWGW,50,"Installed in feet of host, detects vibrations in the ground warning host of approaching enemies. No penalty to Perception checks to notice targets that have concealment or total concealment provided the target moved on its last turn. Rejection +7 , Surgery cost 3750. Restricted.Installed in feet of host, detects vibrations in the ground warning host of approaching enemies. No penalty to Perception checks to notice targets that have concealment or total concealment provided the target moved on its last turn. Rejection +7 , Surgery cost 3750. Restricted."
Bio-stabilizerBio-stabilizer,1750,,-,KK,74,Teaches the brain to synthesize antidotes. Immune to poison.Teaches the brain to synthesize antidotes. Immune to poison.
CardioCardio,4000,,-,KK,74,Sends vital chemicals to the heart and other organs. Gain +1 HP per level.Sends vital chemicals to the heart and other organs. Gain +1 HP per level.
CombatCombat,5000,,-,KK,74,Transmits basic knowledge of a variety of weapons into the mind of its user. Eliminates penalties to atk rolls for weapons user is not proficient with.Transmits basic knowledge of a variety of weapons into the mind of its user. Eliminates penalties to atk rolls for weapons user is not proficient with.
MemoryMemory,2000,,-,KK,74,"Augments the memory. Reroll any Knowledge check, keeping the better result.Augments the memory. Reroll any Knowledge check, keeping the better result."
Nerve ReinforcementNerve Reinforcement,5000,,-,KK,75,"Augments the signals sent from the brain through the central nervous system, making the senses difficult to overload through conventional means. +5 DT against stun dmg.Augments the signals sent from the brain through the central nervous system, making the senses difficult to overload through conventional means. +5 DT against stun dmg."
Regenerative,4250,,-,K,75,Coaxes the healing sections of the brain. Recovers x2 HP from natural healing.
Sensory,2500,,-,K,75,Augments the minds natural ability to process visual data. Grants a user low-light vision or Darkvision if the character already has low-light vision.
